"UniqueId";"UserPremiumStatus";"PackageEndDate";"UserStatusCreatedDate";"UserStatusLastUpdate";"CurrentDiamond"
"148";"1";"2020-12-01 02:54:13";"2019-11-27 02:50:26";"2020-01-02 23:45:01";"5"
"149";"0";"2019-12-01 08:21:13";"2019-11-29 08:21:13";"2020-01-02 23:45:00";"0"
"150";"0";"2019-12-07 09:19:37";"2019-12-03 09:19:37";"2020-01-02 23:45:00";"9986"
"151";"0";"2019-12-07 02:47:22";"2019-12-05 02:47:22";"2020-01-02 23:45:00";"0"
"152";"1";"2020-02-02 10:16:22";"2020-01-03 08:38:05";"2020-01-03 10:16:22";"0"
"153";"1";"2021-01-02 09:54:12";"2020-01-03 09:42:15";"2020-01-03 09:54:12";"5"
"154";"1";"2022-02-01 09:56:10";"2020-01-03 09:55:24";"2020-01-03 10:10:03";"10"
"155";"0";"2020-01-06 11:20:58";"2020-01-06 11:20:58";"2020-01-13 06:53:22";"977"
"156";"0";"2020-01-09 09:55:19";"2020-01-09 09:55:19";"2020-01-09 09:55:19";"0"
"157";"0";"2020-01-13 06:07:18";"2020-01-13 06:07:18";"2020-01-13 06:07:18";"0"
