"DiamondLogId";"UniqueUserId";"DiamondTotal";"PaymentType";"DiamondUsage";"UsageDate"
"c34fccb6-ee82-4cb1-b8c2-1f7ff1108134";"97";"0";"charge";"Free Tryout Registration: TryOut UTBK 2020 #1 - Soshum a705ffc8-6eed-407b-b02b-9b86bd31a252";"2019-10-09 11:54:48"
"c406ca30-0eed-49d7-add2-b4f3d9528757";"135";"10";"charge";"Konseling 1on1 reservation";"2019-10-31 03:43:03"
"c431f4d9-0e11-492d-a2f3-00c61b2e2e8a";"123";"0";"charge";"Pending Tryout Registration: TryOut UTBK 2020 #3 - Soshum STG de9b4a69-865b-497a-87b5-90cfcff42ea6";"2019-12-13 12:47:37"
"c4562971-8a05-4417-a501-ecd1e274bfd3";"123";"5";"topup";NULL;"2019-12-03 06:29:19"
"c6b2105e-f4b1-4c12-b2d6-f80ae247a73e";"21";"0";"charge";"Free Tryout Registration: TryOut UTBK 2020 #1 - Saintek 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-14 11:18:25"
"c8eb3e01-b26e-451b-bf5f-0ffa965f5990";"135";"10";"charge";"Konseling 1on1 reservation";"2019-11-15 09:41:53"
"c9a161b3-3941-408e-8179-7f595e4c7e89";"127";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Soshum STG a705ffc8-6eed-407b-b02b-9b86bd31a252";"2019-10-17 13:53:36"
"c9cb9e9a-ed2f-464c-93f8-7776b35cef80";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-29 07:46:30"
"ca3bd531-82b7-4a45-98bb-c5d0e13edf4f";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-22 04:04:43"
"ca6c34c7-7b58-4e39-af60-f28725b0b2cf";"123";"5";"topup";NULL;"2019-10-24 04:19:17"
"cb11164c-8eeb-426e-9efa-f1e952f58b68";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 09:53:41"
"cb15c7d4-2f0c-4abf-aa47-bbf34104dcc7";"135";"10";"charge";"Konseling 1on1 reservation";"2019-10-31 04:09:12"
"cb1af5a4-e203-4d31-b039-fd98dcf1aba6";"123";"5";"topup";NULL;"2019-12-05 04:01:12"
"cb3f032a-4396-4a5c-b2df-a8a0d43b5537";"123";"5";"topup";NULL;"2019-12-03 06:09:42"
