"UniqueTransactionId";"UniqueOrderId";"TransactionPlaceStatus";"InitiatingOrderTime";"OrderPlacedTime";"CompletedOrderTransactionDate";"TransactionStatus";"UserId";"OrderCreatedDate";"GrossPrice";"UniquePackageId"
"ca650d1c-3fe2-4a0c-b97d-144a4facbba7";"178906201931115";"Pending";"2019-07-31 10:30:09";NULL;NULL;"init";"104";"2019-07-31 10:30:09";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"cb0c55e3-4a6c-44ed-a6f8-9bc27b1f8629";"633811201918116";"Pending";"2019-12-18 02:30:14";NULL;NULL;"init";"148";"2019-12-18 02:30:14";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"cb984bdf-7276-4e7b-8957-8525425620e5";"191511201918715";"Pending";"2019-12-18 02:51:01";NULL;NULL;"init";"148";"2019-12-18 02:51:01";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"cbeea7c2-7b95-4732-a21b-8ee6a9ebf60f";"393808201907607";"Pending";"2019-09-07 00:59:00";NULL;NULL;"init";"43";"2019-09-07 00:59:01";"260000";"a604df3b-e114-462c-b5ef-e96464b2ab60"
"cc230796-ca5e-4ec0-992b-9073e3fe8ff2";"070100202003889";"alfamart";"2020-01-03 10:04:18";"2020-01-03 17:04:23";"2020-01-03 10:04:41";"settlement";"154";"2020-01-03 10:04:18";"390000";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"cd418489-6e22-44a8-90f1-1d8012d1db61";"95161120190404";"indomaret";"2019-12-04 03:58:47";"2019-12-04 10:58:52";"2019-12-04 03:59:01";"settlement";"123";"2019-12-04 03:58:47";"450000";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"cdf6bb3d-5305-42ab-bc52-3507cb5bb17a";"78380820192708";"alfamart";"2019-09-27 06:20:38";"2019-09-27 13:20:54";"2019-09-27 06:23:52";"settlement";"7";"2019-09-27 06:20:38";"230001";"a604df3b-e114-462c-b5ef-e96464b2ab60"
"cdfc2e9a-8292-45ba-b711-285e3548533d";"969306201910010";"Pending";"2019-07-10 10:13:14";NULL;NULL;"init";"107";"2019-07-10 10:13:14";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"cef2e7de-7e4e-49c4-8a83-c965329598d9";"014700202009813";"Pending";"2020-01-09 02:43:33";NULL;NULL;"init";"7";"2020-01-09 02:43:33";"14997";"d0718646-93df-4a51-82bd-aea676dfaf18"
"cf7149bb-8def-411c-93bd-bfe51656a180";"652211201914316";"gopay";"2019-12-14 21:09:53";"2019-12-15 04:09:57";"2019-12-14 21:10:26";"settlement";"43";"2019-12-14 21:09:53";"15000";"9c85d23a-47f0-4e51-bb96-2597e95615aa"
"d200707e-7e9c-45ea-851d-8dd6f9256dcf";"216806201931107";"Pending";"2019-07-31 10:18:21";NULL;NULL;"init";"104";"2019-07-31 10:18:22";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
"d3e3530f-b021-4248-a864-b6d6d1fd3314";"024911201919416";"Pending";"2019-12-19 03:03:07";NULL;NULL;"init";"139";"2019-12-19 03:03:07";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"d5d70720-2c6b-4efe-9d5b-14f0617f5300";"19199201928819";"gopay";"2019-10-28 07:22:42";"2019-10-28 14:22:45";"2019-10-28 07:23:00";"settlement";"43";"2019-10-28 07:22:42";"150000";"e4ecd156-789f-4639-b03a-953aaad54d0c"
"d7d99d44-a3f8-4ac3-aea8-549361cadf31";"344606201910413";"Pending";"2019-07-10 14:48:20";NULL;NULL;"init";"43";"2019-07-10 14:48:20";"40000";"f623443a-d9cf-4302-97da-d29fd2696997"
"d977fc53-be45-4cc8-a924-c080f7b632e6";"031508201927962";"Pending";"2019-09-27 03:12:43";NULL;NULL;"init";"12";"2019-09-27 03:12:43";"230001";"a604df3b-e114-462c-b5ef-e96464b2ab60"
"dafc385f-c16b-4b29-853b-40b5ffea39af";"453611201917915";"Pending";"2019-12-17 13:46:40";NULL;NULL;"init";"148";"2019-12-17 13:46:40";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"db51687c-301c-4bdf-8a54-c4a16ca999bd";"019500202006708";"permata";"2020-01-06 05:37:53";"2020-01-06 12:38:04";"2020-01-06 06:30:20";"settlement";"123";"2020-01-06 05:37:53";"450000";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"dc2ac74b-bba1-4599-9b4a-0df303b09b67";"930111201904504";"bca";"2019-12-04 10:21:01";"2019-12-04 17:21:08";"2019-12-04 10:24:54";"settlement";"132";"2019-12-04 10:21:01";"450000";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"dd174dd8-8d3d-44b1-9aca-a417ae2401f9";"361308201907408";"Pending";"2019-09-07 00:32:31";NULL;NULL;"init";"43";"2019-09-07 00:32:31";"260000";"a604df3b-e114-462c-b5ef-e96464b2ab60"
"dd2c9dd4-9052-4df6-8f5d-1f8ac9045fb0";"398208201907806";"Pending";"2019-09-07 02:03:47";NULL;NULL;"init";"12";"2019-09-07 02:03:47";"230001";"a604df3b-e114-462c-b5ef-e96464b2ab60"
"de9d970e-525b-44bf-8969-a70cbfae20e0";"677411201918506";"Pending";"2019-12-18 04:23:55";NULL;NULL;"init";"148";"2019-12-18 04:23:55";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"deb9e8df-3287-4982-8400-b39df5e321d2";"777606201913718";"Pending";"2019-07-13 09:42:34";NULL;NULL;"init";"43";"2019-07-13 09:42:35";"45000";"f623443a-d9cf-4302-97da-d29fd2696997"
"e043b6a5-2b7e-4a56-9be3-a32e9183808e";"16911120192406";"Pending";"2019-12-24 11:06:51";NULL;NULL;"init";"139";"2019-12-24 11:06:51";"100000";"37695149-ebaf-4c88-8766-5470860be535"
"e06600d2-2333-4d06-9ff7-af374b21f458";"066706201910412";"Pending";"2019-07-10 12:37:38";NULL;NULL;"init";"43";"2019-07-10 12:37:39";"50000";"f623443a-d9cf-4302-97da-d29fd2696997"
