"TestParticipantId";"TestId";"TestTypeId";"UniqueUserId";"TestCreatedDate";"LastUpdated";"DepartmentTarget";"StatusLevelParticipant";"UniversityTarget";"TestInfoSource"
"49540e5c-c78b-4be1-984e-7325ce7e2288";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"97";"2019-10-09 11:24:03";"2019-12-09 08:26:38";"af1bfc95-7bb0-4e10-bd1d-7fe934cc27d7";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"561c542d-cdb0-46ce-8193-b85628c30409";"408725b5-ae33-4824-a5ca-7fe2ce102644";"2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"128";"2019-12-13 13:21:11";"2019-12-19 02:49:32";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";"Instagram"
"595fa690-0086-4a67-a6c5-f3ba47dcd2ca";"72147b18-ddcd-4ae7-b06b-a1c60cce85c8";"de9b4a69-865b-497a-87b5-90cfcff42ea6";"43";"2019-12-14 20:33:44";"2019-12-17 12:15:15";"b3db2798-7813-44a6-95fa-0f41ed35039f";"FREE";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"5a88f151-8e00-4c67-98de-45fcabbe9a78";"408725b5-ae33-4824-a5ca-7fe2ce102644";"2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"129";"2019-12-13 13:02:39";"2019-12-18 15:21:24";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";"Instagram"
"5b556d7f-e310-4b0d-bd1a-6d753d8e66f0";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"39";"2019-05-08 02:58:49";"2019-05-08 02:58:49";NULL;"FULL";NULL;NULL
"5ea0c7b1-01b2-495a-9041-f61994c0688c";"408725b5-ae33-4824-a5ca-7fe2ce102644";"2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"7";"2020-01-09 02:44:01";"2020-01-09 02:44:01";"57f4c696-76a3-478b-9175-b81a4d7ef37c";"FULL";"e802b622-84e0-4074-8b88-7f0d2d7596e6";NULL
"5ec99101-d43e-4578-99a8-0cb324751ddf";"a599eb56-ffc4-42d2-b7ce-482313cda344";"66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"129";"2019-11-27 22:50:52";"2020-01-02 09:38:37";"e748fc63-a2db-414b-901d-713cf8f0aee4";"FULL";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";"PILIH JAWABAN..."
"6781968e-7986-41d7-a0dc-7edaa9def10a";"408725b5-ae33-4824-a5ca-7fe2ce102644";"2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"150";"2020-01-03 04:48:41";"2020-01-03 04:48:41";"bd638ddf-2075-44b1-aadc-122611ed8b41";"PENDING";"e82bcd77-6aa1-4557-8452-5f114ee42ae4";NULL
"6ad9b0fe-ebe8-4110-80b6-84e5b850ec7c";"9006c677-59db-4d57-ba55-28a9a7081404";"a705ffc8-6eed-407b-b02b-9b86bd31a252";"131";"2019-10-17 04:05:37";"2019-10-17 04:05:37";NULL;"FULL";NULL;NULL
"70296773-d4c6-43cf-ab04-53c66dfc91d4";"9006c677-59db-4d57-ba55-28a9a7081404";"a705ffc8-6eed-407b-b02b-9b86bd31a252";"139";"2019-11-11 07:48:34";"2019-11-11 07:48:34";"b0718300-ce2a-465f-9af9-cf5f5aec2060";"FULL";NULL;NULL
