"UniqueUserActionId";"UserActionCreatedDate";"UniqueTransactionId";"UserId";"UniqueActionPackageId"
"00292417-c77a-45eb-8d86-f6b60fa771aa";"2019-10-28 14:22:51";"d5d70720-2c6b-4efe-9d5b-14f0617f5300";"43";"e4ecd156-789f-4639-b03a-953aaad54d0c"
"005741ff-2f2f-4a94-a3ab-a85e7c8ec68d";"2019-10-12 19:13:27";NULL;"76";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"01af8353-fac2-4b69-9a09-3bee2405cc24";"2019-10-28 18:47:58";"c4ab723c-384e-4ce4-8cf8-0364cf92b86c";"43";"e4ecd156-789f-4639-b03a-953aaad54d0c"
"01dc384f-4a83-4782-aaa1-372cede54a95";"2019-12-05 10:47:22";"2c7e043a-6e92-4407-aba0-9819d27aec04";"123";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"024837d0-6894-4345-a46f-941714eaadd6";"2019-12-04 11:42:06";"c209667d-134d-4b6d-969c-403f19873e16";"7";"43827957-7c98-436d-9a9b-2eb47096ef67"
"0307152f-de48-4d63-a48d-947cfdb75667";"2019-07-01 10:20:10";NULL;"104";"f623443a-d9cf-4302-97da-d29fd2696997"
"046c475f-39fa-4655-b3cf-a96ebda83a57";"2019-10-12 19:13:28";NULL;"97";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"04a231bd-8485-4eb0-8add-3c13dd6f561b";"2020-01-03 17:03:21";"6c3654f8-9da7-4504-9d2b-12aa91e1823a";"123";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"05c7a8f0-04c7-4839-b568-e6330f7c3b7c";"2019-07-02 17:21:47";"1280565659354953";"12";"f623443a-d9cf-4302-97da-d29fd2696997"
"067e3c0f-f0c1-47bc-bb27-7da41a1204e2";"2019-10-13 11:33:12";NULL;"120";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"071c0bd6-a510-495b-ab4b-e3e0775ac9cc";"2019-12-03 13:29:19";"35f5d63a-fc4a-4cfd-840b-ea4dcf1c0590";"123";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"077ade55-9655-4b02-beac-0509a109252e";"2019-07-10 17:06:13";NULL;"107";"d2961f68-9350-4b2b-939a-474bad8dc928"
"077c6f0e-38a9-43e2-95d9-40ed5300badc";"2019-10-13 10:10:37";NULL;"104";"1cb3dfd6-eb8a-42ca-8f72-56fc95f78f82"
"08b7e2a9-b5dc-4d8a-aeae-d2d6e306eca8";"2019-12-17 18:13:42";"56931ef8-8917-43a8-af47-b0b6b7abdbe0";"7";"43827957-7c98-436d-9a9b-2eb47096ef67"
